Restaurant Name,Address,Open/Close Times,Item Name,Description,Price
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Alu Baigan,"Potato, eggplant, tomato and onion.",$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Baigan Bartha,"Eggplant, tomato and onion.",$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Chana Saag,"Spinach, chickpea and cream sauce.",$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Chana Masala,"Chickpeas, onion and masala spices.",$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Gobi Masala,Cauliflower and masala spices.,$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Bhindi Masala,"Okra, tomato, onion and masala spices.",$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Malai Kofta,2 vegetarian meatballs in a spicy tomato cream sauce.,$13.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Navratan Kurma,"Mixed vegetables, nuts and cream sauce.",$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Khadai Paneer Masala,"Paneer, tomato, bell pepper and masala spices.",$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Paneer Booji,Homemade cheese with spices.,$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Matar Paneer,"Greenpeas, homemade cheese and tomato cream sauce.",$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Palak Paneer,Creamed spinach and homemade cheese.,$13.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Kala Chana,"Black chickpea, onion and tomato with coconut milk.",$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Undhiyu,"Green beans, potato, eggplant, purple yam and muthia.",$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Whole Moong,"Moong, tomato and spices.",$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Yellow Dal,"Yellow dal, tomato and spices.",$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Sukhi Bhaji,"Potato, hot pepper and onion.",$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Kadi Pakora,Creamy and mildly spiced yogurt sauce.,$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Dal Palak,"Southern style lentil, spicy curry with basmati rice.",$11.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Chole Batura,Large puffed bread with spicy chickpeas.,$14.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Thopp Dosa,Kid's special spice-free dosa in the shape of a cone.,$9.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Sada Dosa,Spice free crispy rice and lentil flour crepe.,$9.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Masala Dosa,Sada dosa with a mildly spiced potato filling.,$9.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Ghee Sada Dosa,Spice free crispy rice and lentil flour crepe with butter.,$9.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Ghee Masala Dosa,Ghee sada dosa with a mildly spiced potato filling.,$10.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Paper Dosa,Extra thin and crispy crepe.,$9.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Paper Masala Dosa,Paper dosa with a mildly spiced potato filling.,$11.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Chocolate Dosa,Sada dosa topped with chocolate.,$8.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Onion Masala Dosa,Crispy rice and lentil flour crepe with onion.,$10.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Gunpowder Masala Dosa,Crispy rice and lentil flour crepe with gunpowder chilies.,$8.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Paneer Masala Dosa,Filed with masala and homemade cheese.,$10.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Spinach Masala Dosa,Filled with spinach masala and homemade cheese.,$11.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Gobi Masala Dosa,"Filled with cauliflower, tomato, onion and spices.",$10.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Mushroom Masala Dosa,"Mushroom, tomato, onion and spices.",$10.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Chilli Cheese Dosa,Topped with green chilli and cheese.,$10.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Mysore Sada,Hot mysore spices in crispy rice and lentil flour crepe.,$8.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Mysore Masala,With mildly spiced potato filling.,$10.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Spring Dosa,"Dosa wrapped sauteed cabbage, carrot and bell pepper.",$9.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Jai Pur Masala Dosa,"Spicy paneer, onion, tomato, chilli and green pea filling.",$10.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Pondicherry Masala Dosa,"Masala dosa podi, red onion, tomato and chilli.",$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Paneer Booji Masala Dosa,Topped with homemade cheese and booji.,$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Cheese Pondicherry Masala dosa,"Masala dosa podi, red onion, tomato, chilli, and cheese",$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Cheese Mysore Masala Dosa,Hot mysore spices in crispy rice and lentil flour crepe topped with cheese.,$10.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Vegetable Dosa,Topped with vegetables and spicy chutney,$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Special Dosa World Dosa,"Rolled with cheese, vegetables, and spicy chutney",$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Kathrika Kuzhambua,"Eggplant, onion, tomato and south Indian spices.",$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Kara Kuzhambu,"Garlic, onion, tomato and south Indian spices.",$13.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Vendaikai Kuzhambu,"Okra, onion, tomato and south Indian spices.",$12.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Avial,Coconut curry with mixed vegetables and cream.,$13.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Pongal,"Rice, lentil, spices, nuts and butter served with coconut chutney and sambar.",$8.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Bisibilabath,"Rice cooked with lentil, vegetables and spices.",$8.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Fried Rice,Cooked rice fried with vegetables and spices.,$8.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,North Indian Thali,"Papadam, palak paneer, chana masala, rasam, raita, chapati, basmati rice and kheer.",$17.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Gujarati Thali,"Batata vada, kachori, undhiyu, kadi, basmati rice , poori and date chutney rasmalai.",$17.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Dosa World Thali,"paniyaaram, idli, medu vada, masala dosa, mixed vegetable uttapam, sambar, coconut chutney. Dessert: badam halwa",$17.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,South Indian Thali,"Papadam, aviyal, poriyal, kootu, kuzhambu, rasam, sambar, yogurt, poori, white rice, and dessert.",$17.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Plain Uttapam,Lentil and rice flour pancake.,$9.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Coconut Uttapam,Uttapam topped with coconut.,$9.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Paneer Uttapam,Uttapam topped with homemade cheese.,$9.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Mushroom Uttapam,Uttapam topped with mushroom.,$9.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Pea and Onion Uttapam,Uttapam topped with peas and onion.,$9.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Gunpowder Uttapam,Uttapam topped with dosa podi and gunpowder chilli.,$9.99
