Restaurant Name,Address,Open/Close Times,Item Name,Description,Price
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Lamb Chops,"Lamb ribs marinated in yogurt, masala, and spices",$30.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Tandoori Whole Chicken,Thanks giving special menu,$26.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Tandoori Whole Chicken (THANKSGIVING SPECIAL),THANKSGIVING SPECIAL! Whole chicken marinated in homemade spices and cooked in tandoori oven,$29.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Plain Parotta with Korma,Layered flatbread served with korma,$11.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Veg Kothu Parotta,Minced layered parotta and fresh vegetables,$12.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Egg Kothu Parotta,Minced layered parotta with egg,$14.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Chicken Kothu Parotta,Minced layered parotta with chicken and egg,$15.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Mutton Kothu Parotta,Minced layered parotta with mutton and egg,$16.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Shrimp Chicken Noodles,Shrimp and chicken mixed,$17.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Shrimp Chicken Fried Rice,Shrimp and chicken mixed,$17.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Plain Dosa,Thin savory rice crepe served with sambar and chutney,$9.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Set Dosa,Spongy dosa made with rice and urad dal,$9.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Set Egg Dosa,"Spongy dosa made with rice, urad dal, and egg",$10.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Masala Dosa,Plain dosa with a medium spiced potato filling,$10.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Ghee Roast,Thing savory rice crepe topped with ghee served with sambar and chutney,$10.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Ghee Masala Dosa,Ghee dosa with medium spiced potato filling,$11.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Cheese Dosa,Spice-free crispy rice and lentil flour crepe with cheese,$10.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Chocolate Dosa,Plain dosa with chocolate spread,$8.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Onion Uttapam,Thick onion-based dosa,$10.99
