Restaurant Name,Address,Open/Close Times,Item Name,Description,Price
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Adai & Avial,(lentil pancake served w/ mix veg. curry),$7.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Uppuma,(creme of wheat w/ mild spices served w/ sambar & chutney),$4.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Poori & Potato Masala,(a whole wheat bread served w/ potato masala & pickle),$4.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Sada Dosa,(a thin rice crepe),$4.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Masala Dosa,(crepe w/ onion & potato),$5.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Butter Sada Dosa,(crepe cooked w/ butter),$5.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Butter Masala Dosa,(crepe w/ onion & potato),$6.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Butter Garlic Mysore Masala *,"(crepe w/ butter, garlic, onion & potato)",$8.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Paper Sada Dosa,(crispy thin crepe),$6.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Paper Masala Dosa,(w/ onion & potato),$7.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Ghee Roast Masala,(crepe cooked w/ pure ghee),$7.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Mysore Masala Dosa *,(spicy crepe w/ onion & potato),$6.50
